Metric,Score,MaxMinScore
duplicate_rate,0.4766797725711446,0.4766797725711446
rpf_multimapper_rate,0.21690515515149744,0.21690515515149744
alignment_multimapper_rate,0.1749854057209574,0.1749854057209574
soft_clip_rate_5prime,0.0,0.0
read_length_iqr_fraction,0.6,0.6
read_length_cv,0.07703944235361475,0.07703944235361475
read_length_max_proportion,0.21142838836444405,0.21142838836444405
read_length_bimodality_coefficient,0.04674430039279483,0.04674430039279483
disome_proportion,0.0023,0.0023
terminal_bias_kl_5prime,0.04677388210509265,0.023386941052546326
terminal_bias_kl_3prime,0.12110112645992033,0.060550563229960164
terminal_bias_max_deviation_5prime,0.04359669711300243,0.04359669711300243
terminal_bias_max_deviation_3prime,0.06111132343825709,0.06111132343825709
periodicity_information_28,0.07151979877913962,0.07151979877913962
periodicity_information_29,0.03603336442254889,0.03603336442254889
periodicity_information_30,0.04929902478999335,0.04929902478999335
periodicity_information_31,0.09648913605509885,0.09648913605509885
periodicity_information_32,0.14621273252918027,0.14621273252918027
periodicity_information_33,0.1430867412212979,0.1430867412212979
periodicity_information_global,0.08760132723396731,0.08760132723396731
periodicity_information_weighted_score,0.09043494105809947,0.09043494105809947
stop_codon_readthrough_ratio,0.194,0.0388
start_codon_enrichment_ratio,1.4663,0.07331499999999999
uniformity_entropy_15,0.0,0.0
uniformity_entropy_17,0.22336300948576157,0.22336300948576157
uniformity_entropy_18,0.0,0.0
uniformity_entropy_19,0.10797509616669135,0.10797509616669135
uniformity_entropy_20,0.1408503166323492,0.1408503166323492
uniformity_entropy_21,0.0,0.0
uniformity_entropy_22,0.0,0.0
uniformity_entropy_23,0.15977778905389947,0.15977778905389947
uniformity_entropy_24,0.29264430750687676,0.29264430750687676
uniformity_entropy_25,0.3669383532240516,0.3669383532240516
uniformity_entropy_26,0.6222440070948494,0.6222440070948494
uniformity_entropy_27,0.8189435118633069,0.8189435118633069
uniformity_entropy_28,0.8829510976231669,0.8829510976231669
uniformity_entropy_29,0.908750501090317,0.908750501090317
uniformity_entropy_30,0.9140299441113758,0.9140299441113758
uniformity_entropy_31,0.9075961676194183,0.9075961676194183
uniformity_entropy_32,0.9083742318056159,0.9083742318056159
uniformity_entropy_33,0.898287454742062,0.898287454742062
uniformity_entropy_34,0.8141730200595912,0.8141730200595912
uniformity_entropy_35,0.5196009833215831,0.5196009833215831
uniformity_entropy_36,0.16278192760572616,0.16278192760572616
uniformity_entropy_51,0.0,0.0
uniformity_entropy_16,0.0,0.0
uniformity_entropy_37,0.0,0.0
uniformity_entropy_38,0.0,0.0
uniformity_entropy_39,0.0,0.0
uniformity_entropy_40,0.0,0.0
uniformity_entropy_41,0.0,0.0
uniformity_entropy_42,0.0,0.0
uniformity_entropy_43,0.0,0.0
uniformity_entropy_44,0.0,0.0
uniformity_entropy_45,0.0,0.0
uniformity_entropy_46,0.0,0.0
uniformity_entropy_47,0.0,0.0
uniformity_entropy_48,0.0,0.0
uniformity_entropy_49,0.0,0.0
uniformity_entropy_50,0.0,0.0
uniformity_entropy_global,0.9151519544081076,0.9151519544081076
cds_coverage,0.04486476608187134,0.04486476608187134
cds_coverage_1read_1000tx,0.016676755309497707,0.016676755309497707
cds_coverage_100read_100tx,0.00012170039796030133,0.00012170039796030133
cds_coverage_inframe_1read_1000tx,0.020417417671887633,0.020417417671887633
cds_coverage_inframe_100read_100tx,0.0002192982456140351,0.0002192982456140351
ratio_cds:leader_20,1.9,
ratio_cds:leader_21,1.0,
ratio_cds:leader_22,20.0,
ratio_cds:leader_23,10.166666666666666,
ratio_cds:leader_24,5.275862068965517,
ratio_cds:leader_25,4.175675675675675,
ratio_cds:leader_26,4.703703703703703,
ratio_cds:leader_27,6.343042071197411,
ratio_cds:leader_28,10.34452296819788,
ratio_cds:leader_29,12.19690063810392,
ratio_cds:leader_30,8.811224489795919,
ratio_cds:leader_31,6.971678467305289,
ratio_cds:leader_32,6.578783151326053,
ratio_cds:leader_33,5.638163103721299,
ratio_cds:leader_34,4.570858283433134,
ratio_cds:leader_35,3.0804597701149423,
ratio_cds:leader_36,8.3,
ratio_cds:leader_37,3.0,
ratio_cds:leader_global,7.573732718894009,
ratio_cds:trailer_20,19.0,
ratio_cds:trailer_21,10.666666666666666,
ratio_cds:trailer_22,4.444444444444445,
ratio_cds:trailer_23,7.625,
ratio_cds:trailer_24,6.6521739130434785,
ratio_cds:trailer_25,9.088235294117647,
ratio_cds:trailer_26,5.990566037735849,
ratio_cds:trailer_27,8.412017167381974,
ratio_cds:trailer_28,8.165969316596932,
ratio_cds:trailer_29,7.761020881670533,
ratio_cds:trailer_30,8.4326171875,
ratio_cds:trailer_31,8.2376968503937,
ratio_cds:trailer_32,8.921720733427362,
ratio_cds:trailer_33,9.959440559440559,
ratio_cds:trailer_34,11.06280193236715,
ratio_cds:trailer_35,9.925925925925926,
ratio_cds:trailer_36,8.3,
ratio_cds:trailer_37,0,
ratio_cds:trailer_global,8.468012022327178,
ratio_leader:trailer_20,10.0,
ratio_leader:trailer_21,10.666666666666666,
ratio_leader:trailer_22,0.2222222222222222,
ratio_leader:trailer_23,0.75,
ratio_leader:trailer_24,1.2608695652173914,
ratio_leader:trailer_25,2.176470588235294,
ratio_leader:trailer_26,1.2735849056603774,
ratio_leader:trailer_27,1.3261802575107295,
ratio_leader:trailer_28,0.7894002789400278,
ratio_leader:trailer_29,0.6363109048723898,
ratio_leader:trailer_30,0.95703125,
ratio_leader:trailer_31,1.1815944881889764,
ratio_leader:trailer_32,1.3561354019746121,
ratio_leader:trailer_33,1.7664335664335664,
ratio_leader:trailer_34,2.420289855072464,
ratio_leader:trailer_35,3.2222222222222223,
ratio_leader:trailer_36,1.0,
ratio_leader:trailer_37,0,
ratio_leader:trailer_global,1.1180764276513526,
prop_reads_CDS_global,0.7980064438179622,0.7980064438179622
prop_reads_CDS_15,0.4657534246575342,0.4657534246575342
prop_reads_CDS_16,0.46511627906976744,0.46511627906976744
prop_reads_CDS_17,0.6909090909090909,0.6909090909090909
prop_reads_CDS_18,0.488,0.488
prop_reads_CDS_19,0.6230769230769231,0.6230769230769231
prop_reads_CDS_20,0.6333333333333333,0.6333333333333333
prop_reads_CDS_21,0.47761194029850745,0.47761194029850745
prop_reads_CDS_22,0.7843137254901961,0.7843137254901961
prop_reads_CDS_23,0.8133333333333334,0.8133333333333334
prop_reads_CDS_24,0.7463414634146341,0.7463414634146341
prop_reads_CDS_25,0.7410071942446043,0.7410071942446043
prop_reads_CDS_26,0.7248858447488584,0.7248858447488584
prop_reads_CDS_27,0.7830603276068717,0.7830603276068717
prop_reads_CDS_28,0.8193394906241254,0.8193394906241254
prop_reads_CDS_29,0.8248566672831514,0.8248566672831514
prop_reads_CDS_30,0.8114076301447096,0.8114076301447096
prop_reads_CDS_31,0.790171827794562,0.790171827794562
prop_reads_CDS_32,0.7907369210575661,0.7907369210575661
prop_reads_CDS_33,0.7818401405357928,0.7818401405357928
prop_reads_CDS_34,0.7638425617078052,0.7638425617078052
prop_reads_CDS_35,0.7015706806282722,0.7015706806282722
prop_reads_CDS_36,0.8058252427184466,0.8058252427184466
prop_reads_CDS_37,0.75,0.75
prop_reads_CDS_51,0.4782608695652174,0.4782608695652174
cds_enrichment_ratio,1.3495133933428538,0.13495133933428538
prop_reads_leader_global,0.10594039468385018,0.10594039468385018
prop_reads_leader_15,0.2602739726027397,0.2602739726027397
prop_reads_leader_16,0.023255813953488372,0.023255813953488372
prop_reads_leader_17,0.07727272727272727,0.07727272727272727
prop_reads_leader_18,0.232,0.232
prop_reads_leader_19,0.2692307692307692,0.2692307692307692
prop_reads_leader_20,0.3333333333333333,0.3333333333333333
prop_reads_leader_21,0.47761194029850745,0.47761194029850745
prop_reads_leader_22,0.0392156862745098,0.0392156862745098
prop_reads_leader_23,0.08,0.08
prop_reads_leader_24,0.14146341463414633,0.14146341463414633
prop_reads_leader_25,0.1774580335731415,0.1774580335731415
prop_reads_leader_26,0.1541095890410959,0.1541095890410959
prop_reads_leader_27,0.12345185777067519,0.12345185777067519
prop_reads_leader_28,0.07920514973411699,0.07920514973411699
prop_reads_leader_29,0.06762838296036003,0.06762838296036003
prop_reads_leader_30,0.09208795339221951,0.09208795339221951
prop_reads_leader_31,0.11334025679758308,0.11334025679758308
prop_reads_leader_32,0.12019501218826177,0.12019501218826177
prop_reads_leader_33,0.13866930171277997,0.13866930171277997
prop_reads_leader_34,0.16711140760507004,0.16711140760507004
prop_reads_leader_35,0.22774869109947643,0.22774869109947643
prop_reads_leader_36,0.0970873786407767,0.0970873786407767
prop_reads_leader_37,0.25,0.25
prop_reads_leader_51,0.10869565217391304,0.10869565217391304
prop_reads_trailer_global,0.09541884816753926,0.09541884816753926
prop_reads_trailer_15,0.273972602739726,0.273972602739726
prop_reads_trailer_16,0.5116279069767442,0.5116279069767442
prop_reads_trailer_17,0.2318181818181818,0.2318181818181818
prop_reads_trailer_18,0.28,0.28
prop_reads_trailer_19,0.1076923076923077,0.1076923076923077
prop_reads_trailer_20,0.03333333333333333,0.03333333333333333
prop_reads_trailer_21,0.04477611940298507,0.04477611940298507
prop_reads_trailer_22,0.17647058823529413,0.17647058823529413
prop_reads_trailer_23,0.10666666666666667,0.10666666666666667
prop_reads_trailer_24,0.11219512195121951,0.11219512195121951
prop_reads_trailer_25,0.0815347721822542,0.0815347721822542
prop_reads_trailer_26,0.12100456621004566,0.12100456621004566
prop_reads_trailer_27,0.09308829404714343,0.09308829404714343
prop_reads_trailer_28,0.10033585222502099,0.10033585222502099
prop_reads_trailer_29,0.10628198014918933,0.10628198014918933
prop_reads_trailer_30,0.0962225145649314,0.0962225145649314
prop_reads_trailer_31,0.09592145015105741,0.09592145015105741
prop_reads_trailer_32,0.08863053940871304,0.08863053940871304
prop_reads_trailer_33,0.0785024154589372,0.0785024154589372
prop_reads_trailer_34,0.06904603068712475,0.06904603068712475
prop_reads_trailer_35,0.07068062827225131,0.07068062827225131
prop_reads_trailer_36,0.0970873786407767,0.0970873786407767
prop_reads_trailer_37,0.0,0.0
prop_reads_trailer_51,0.41304347826086957,0.41304347826086957
periodicity_dominance_27,0.4666666666666667,0.4666666666666667
periodicity_dominance_28,0.4308617234468938,0.4308617234468938
periodicity_dominance_29,0.4426328502415459,0.4426328502415459
periodicity_dominance_30,0.4250115366866636,0.4250115366866636
periodicity_dominance_31,0.5018450184501845,0.5018450184501845
periodicity_dominance_32,0.5621424856994279,0.5621424856994279
periodicity_dominance_33,0.5955056179775281,0.5955056179775281
periodicity_dominance_34,0.63671875,0.63671875
periodicity_dominance_global,0.43641204177759574,0.43641204177759574
periodicity_dominance_global_by_read_length_max,0.4934466516485767,0.4934466516485767
n_recommended_read_lengths,3,
recommended_read_proportion,0.4542,0.4542
five_prime_ramp_ratio,2.2923,
three_prime_drop_ratio,0.8756,
marginal_position_discovery_rate,0.9842,0.9842
complexity_distinct_positions,98489,
floss_median,0.2077,0.2077
floss_aberrant_transcript_fraction,0.1081,0.1081
