sample,metric,read_length_or_region,value,description
example_report,duplicate_rate,global,0.4766797725711446,
example_report,multimapper_rate,global,0.0,
example_report,rpf_multimapper_rate,global,0.0,
example_report,unique_rpf_rate,global,1.0,
example_report,alignment_multimapper_rate,global,0.0,
example_report,soft_clip_rate_5prime,global,0.0,
example_report,read_length_distribution_IQR_metric,global,0.4,Normalized IQR of read length distribution
example_report,read_length_distribution_coefficient_of_variation_metric,global,0.9284711039130905,
example_report,read_length_distribution_maxprop_metric,global,0.21142838836444405,
example_report,read_length_distribution_bimodality_metric,global,0.9553431526923493,
example_report,disome_proportion,global,0.0023,
example_report,terminal_nucleotide_bias_distribution_5_prime_metric,global,0.9553150929368165,Normalized 5' terminal bias score from KL divergence
example_report,terminal_nucleotide_bias_distribution_3_prime_metric,global,0.8919822192910314,Normalized 3' terminal bias score from KL divergence
example_report,terminal_nucleotide_bias_max_absolute_metric_5_prime_metric,global,0.9564039855187138,
example_report,terminal_nucleotide_bias_max_absolute_metric_3_prime_metric,global,0.9388904099003956,
example_report,terminal_bias_kl_5prime,global,0.9553150929368165,Normalized 5' terminal bias score from KL divergence
example_report,terminal_bias_kl_3prime,global,0.8919822192910314,Normalized 3' terminal bias score from KL divergence
example_report,terminal_bias_kl_5prime_score,global,0.9553150929368165,Normalized 5' terminal bias score from KL divergence
example_report,terminal_bias_kl_3prime_score,global,0.8919822192910314,Normalized 3' terminal bias score from KL divergence
example_report,terminal_bias_kl_5prime_raw,global,0.0467750456300379,Raw 5' terminal KL divergence in bits
example_report,terminal_bias_kl_3prime_raw,global,0.12109858063630875,Raw 3' terminal KL divergence in bits
example_report,terminal_bias_maxabs_5prime,global,0.9564039855187138,
example_report,terminal_bias_maxabs_3prime,global,0.9388904099003956,
example_report,periodicity_information,28,0.08442164552083264,
example_report,periodicity_information,29,0.12456909097907021,
example_report,periodicity_information,30,0.04190411209919559,
example_report,periodicity_information,31,0.12484332413048131,
example_report,periodicity_information,32,0.1898454879551866,
example_report,periodicity_information,33,0.22256689395838983,
example_report,periodicity_information,global,0.12191152727330887,
example_report,periodicity_information_weighted_score,global,0.1304523272255058,
example_report,stop_codon_readthrough_ratio,global,1.0,
example_report,start_codon_enrichment_ratio,global,2.3392,
example_report,uniformity_entropy,15,0.18512616451558875,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,16,0.0,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,17,0.26158700359028414,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,18,0.0,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,19,0.2791235189093201,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,20,0.2933670084642842,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,21,0.18790182470910757,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,22,0.16218192977763235,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,23,0.2539763955946495,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,24,0.424255274298259,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,25,0.4693933292754329,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,26,0.6394145165549586,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,27,0.8334320590000611,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,28,0.8930714411244697,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,29,0.9134069686218736,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,30,0.9127944179063954,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,31,0.9129779932762531,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,32,0.911205988229306,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,33,0.9050038629268106,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,34,0.8420014584842425,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,35,0.5929503379162725,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,36,0.2722351016198479,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,51,0.0,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,37,0.0,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,38,0.0,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,39,0.0,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,40,0.0,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,41,0.0,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,42,0.0,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,43,0.0,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,44,0.0,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,45,0.0,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,46,0.0,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,47,0.0,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,48,0.0,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,49,0.0,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,50,0.0,Shannon entropy of codon-binned start-codon metagene window
example_report,uniformity_entropy,global,0.9173325310965127,Shannon entropy of codon-binned start-codon metagene window
example_report,CDS_coverage_metric,global,0.003105437199915876,Proportion of CDS covered by reads
example_report,cds_coverage,global,0.003105437199915876,
example_report,CDS_coverage_metric_not_inframe_1read_1000tx,global,0.0007626970981920056,
example_report,cds_coverage_not_inframe_1read_1000tx,global,0.0007626970981920056,
example_report,CDS_coverage_metric_not_inframe_100read_100tx,global,1.3423432739653019e-05,
example_report,cds_coverage_not_inframe_100read_100tx,global,1.3423432739653019e-05,
example_report,CDS_coverage_metric_inframe_1read_1000tx,global,0.0008110706271398422,
example_report,cds_coverage_inframe_1read_1000tx,global,0.0008110706271398422,
example_report,CDS_coverage_metric_inframe_100read_100tx,global,1.7898773486546833e-05,
example_report,cds_coverage_inframe_100read_100tx,global,1.7898773486546833e-05,
example_report,ratio_cds:leader,20,0.9666666666666667,Ratio of CDS to 5'UTR reads
example_report,ratio_cds:leader,21,0.5348837209302325,Ratio of CDS to 5'UTR reads
example_report,ratio_cds:leader,22,2.8461538461538463,Ratio of CDS to 5'UTR reads
example_report,ratio_cds:leader,23,1.1142857142857143,Ratio of CDS to 5'UTR reads
example_report,ratio_cds:leader,24,1.5185185185185186,Ratio of CDS to 5'UTR reads
example_report,ratio_cds:leader,25,1.2419354838709677,Ratio of CDS to 5'UTR reads
example_report,ratio_cds:leader,26,1.2106598984771573,Ratio of CDS to 5'UTR reads
example_report,ratio_cds:leader,27,1.2579762989972654,Ratio of CDS to 5'UTR reads
example_report,ratio_cds:leader,28,1.5083185840707964,Ratio of CDS to 5'UTR reads
example_report,ratio_cds:leader,29,1.3960720130932898,Ratio of CDS to 5'UTR reads
example_report,ratio_cds:leader,30,1.4016356201726488,Ratio of CDS to 5'UTR reads
example_report,ratio_cds:leader,31,1.3228833204547963,Ratio of CDS to 5'UTR reads
example_report,ratio_cds:leader,32,1.3021134916039374,Ratio of CDS to 5'UTR reads
example_report,ratio_cds:leader,33,1.1849166062364032,Ratio of CDS to 5'UTR reads
example_report,ratio_cds:leader,34,1.209077380952381,Ratio of CDS to 5'UTR reads
example_report,ratio_cds:leader,35,1.5782312925170068,Ratio of CDS to 5'UTR reads
example_report,ratio_cds:leader,36,1.6153846153846154,Ratio of CDS to 5'UTR reads
example_report,ratio_cds:leader,37,3.0,Ratio of CDS to 5'UTR reads
example_report,ratio_cds:leader,global,1.340698452130709,Ratio of CDS to 5'UTR reads
example_report,ratio_cds:trailer,20,29.0,
example_report,ratio_cds:trailer,21,23.0,
example_report,ratio_cds:trailer,22,37.0,
example_report,ratio_cds:trailer,23,39.0,
example_report,ratio_cds:trailer,24,123.0,
example_report,ratio_cds:trailer,25,0.0,
example_report,ratio_cds:trailer,26,119.25,
example_report,ratio_cds:trailer,27,65.71428571428571,
