sample	offset_source	offset_target	offset_calculation_method	read_length	n_reads	n_unique_offsets	applied_offsets	raw_offset	final_offset	min_offset	max_offset	computed_offset	global_offset	frame_adjusted	old_offset	new_offset	dominant_frame	dominant_fraction	frame_adjustment_reads
example_report	computed_per_read_length	a_site	ribowaltz	15	185	1	10							False					
example_report	computed_per_read_length	a_site	ribowaltz	16	168	1	10							False					
example_report	computed_per_read_length	a_site	ribowaltz	17	635	1	11	11	11			11		False					
example_report	computed_per_read_length	a_site	ribowaltz	18	501	1	12	12	12			12		False					
example_report	computed_per_read_length	a_site	ribowaltz	19	449	1	12	12	12			12		False					
example_report	computed_per_read_length	a_site	ribowaltz	20	134	1	13	13	13			13		False					
example_report	computed_per_read_length	a_site	ribowaltz	21	192	1	14	14	14			14		False					
example_report	computed_per_read_length	a_site	ribowaltz	22	178	1	14	14	14			14		False					
example_report	computed_per_read_length	a_site	ribowaltz	23	199	1	15	15	15			15		False					
example_report	computed_per_read_length	a_site	ribowaltz	24	711	1	13	13	13			13		False					
example_report	computed_per_read_length	a_site	ribowaltz	25	1273	1	15	15	15			15		False					
example_report	computed_per_read_length	a_site	ribowaltz	26	2832	1	15	15	15			15		False					
example_report	computed_per_read_length	a_site	ribowaltz	27	7833	1	16	16	16			16		False					
example_report	computed_per_read_length	a_site	ribowaltz	28	21456	1	14	14	14			14		False					
example_report	computed_per_read_length	a_site	ribowaltz	29	47201	1	14	14	14			14		False					
example_report	computed_per_read_length	a_site	ribowaltz	30	59397	1	14	14	14			14		False					
example_report	computed_per_read_length	a_site	ribowaltz	31	58451	1	14	14	14			14		False					
example_report	computed_per_read_length	a_site	ribowaltz	32	44389	1	15	15	15			15		False					
example_report	computed_per_read_length	a_site	ribowaltz	33	24763	1	15	15	15			15		False					
example_report	computed_per_read_length	a_site	ribowaltz	34	8076	1	15	15	15			15		False					
example_report	computed_per_read_length	a_site	ribowaltz	35	984	1	17	17	17			17		False					
example_report	computed_per_read_length	a_site	ribowaltz	36	240	1	15	15	15			15		False					
example_report	computed_per_read_length	a_site	ribowaltz	37	5	1	15	15	15			15		False					
example_report	computed_per_read_length	a_site	ribowaltz	38	3	1	15							False					
example_report	computed_per_read_length	a_site	ribowaltz	47	17	1	15							False					
example_report	computed_per_read_length	a_site	ribowaltz	48	8	1	15							False					
example_report	computed_per_read_length	a_site	ribowaltz	51	652	1	14	14	14			14		False					
