transcript_id	cds_start	cds_end	transcript_length
ENST00000000233.10	0	66	2797
ENST00000000412.8	1584	1714	4583
ENST00000000442.11	7059	7187	8783
ENST00000001008.6	3948	4104	8115
ENST00000001146.7	2531	2686	15604
ENST00000002125.9	14346	14489	16641
ENST00000002165.11	8203	8542	15924
ENST00000002501.11	0	154	13003
ENST00000002596.6	0	920	920
ENST00000002829.8	0	111	28489
ENST00000003084.11	107644	107738	187010
ENST00000003100.13	4852	4947	20696
ENST00000003302.8	0	172	76258
ENST00000003583.12	15156	15264	42820
ENST00000003912.7	13999	14134	27043
ENST00000004103.8	0	173	3314
ENST00000004531.14	4493	4890	26318
ENST00000004982.6	1286	1483	1483
ENST00000005082.13	0	1444	19919
ENST00000005178.6	9379	9520	10649
ENST00000005180.9	0	93	2480
ENST00000005226.12	11495	11614	49972
ENST00000005257.7	19455	19574	19574
ENST00000005259.9	37555	37587	37587
ENST00000005260.9	26713	26774	107328
ENST00000005284.4	0	210	105105
ENST00000005286.8	10618	10809	12270
ENST00000005340.10	0	445	8394
ENST00000005374.10	3355	3500	7528
ENST00000005386.8	34089	34211	39332
ENST00000005558.8	6225	6349	24827
ENST00000005756.5	19345	19554	32823
ENST00000005995.8	161	187	4333
ENST00000006015.4	0	229	2345
ENST00000006053.7	0	69	10460
ENST00000006251.11	22742	22790	34742
ENST00000006275.8	0	28	15023
ENST00000006658.11	1834	1977	8450
ENST00000006724.7	9444	9806	10750
ENST00000006750.8	0	95	3032
ENST00000006777.11	0	177	9263
ENST00000007264.7	1603	1784	1784
ENST00000007390.3	449	512	2364
ENST00000007414.8	6227	6320	11984
ENST00000007510.9	2621	2701	12767
ENST00000007516.8	3049	3136	14003
ENST00000007699.10	4684	4747	5709
ENST00000007708.7	12460	12597	12597
ENST00000007722.11	11616	11865	32822
ENST00000007735.4	4298	4645	4645
ENST00000007969.12	1681	1811	7366
ENST00000008180.13	1565	1603	3540
ENST00000008391.4	5034	5094	58805
ENST00000008440.9	12920	13219	13219
ENST00000008527.10	4698	4900	100171
ENST00000008938.5	3494	3780	3780
ENST00000009041.12	7523	7600	21346
ENST00000009105.5	8230	8304	17888
ENST00000009180.10	0	65	37325
ENST00000009530.13	0	7	10506
ENST00000009589.8	602	675	1290
ENST00000010132.6	5408	5548	22569
ENST00000010299.10	33445	33546	34497
ENST00000010404.6	0	125	9785
ENST00000011292.8	4625	4824	7487
ENST00000011473.6	20671	20721	20721
ENST00000011619.6	0	127	89140
ENST00000011653.9	0	48	19187
ENST00000011684.11	5076	5186	15915
ENST00000011691.6	0	68	3608
ENST00000011700.10	81338	81480	231900
ENST00000011898.10	81851	81919	81919
ENST00000011989.11	830	894	18837
ENST00000012049.10	10200	10342	10342
ENST00000012134.7	0	821	21628
ENST00000012443.9	37707	37812	43246
ENST00000013034.3	0	70	7468
ENST00000013070.11	3356	3416	19740
ENST00000013125.9	14940	15043	112027
ENST00000013222.5	1580	1787	3697
ENST00000013807.9	5547	5646	9823
ENST00000013894.3	0	46	8367
ENST00000014914.6	4197	4286	4286
ENST00000014930.9	0	168	24803
ENST00000014935.7	2285	2373	2858
ENST00000016171.6	1758	1871	17459
ENST00000016913.8	3726	3863	9802
ENST00000016946.8	31835	31972	61427
ENST00000017003.7	0	134	14147
ENST00000019019.6	3584	3667	4967
ENST00000019103.8	24003	24135	84106
ENST00000019317.8	3799	4257	22888
ENST00000020673.6	11660	12026	13835
ENST00000020926.8	11611	11836	42152
ENST00000020945.4	0	178	2455
ENST00000022615.9	5439	5491	11247
ENST00000023064.9	29218	29341	37911
ENST00000023897.10	31747	31890	46608
ENST00000023939.8	49389	49564	49564
ENST00000024061.7	16734	16821	16821
ENST00000025008.10	35088	35191	61684
ENST00000025301.4	32739	32876	32876
ENST00000025399.10	17196	17345	20267
ENST00000026218.9	2059	2179	9556
ENST00000027335.8	66392	66442	66442
ENST00000028008.9	0	5	9448
ENST00000029410.10	0	49	9481
ENST00000031146.8	58993	59220	59220
ENST00000033079.7	13938	14148	78883
ENST00000034275.12	0	40	60469
ENST00000035307.7	0	262	4666
ENST00000037243.7	10792	10879	10879
ENST00000037502.11	0	781	16683
ENST00000037869.8	0	185	4719
ENST00000038176.8	25495	25624	75522
ENST00000039007.5	56045	56098	68382
ENST00000039989.9	45043	45189	134946
ENST00000040584.6	0	435	2093
ENST00000040663.8	3972	4148	7689
ENST00000040738.10	6824	6977	57573
ENST00000040877.2	74076	74128	87523
ENST00000042381.9	1606	1758	8013
ENST00000042931.1	3022	3174	5481
ENST00000043402.8	26357	26378	26378
ENST00000044462.12	0	2	7013
ENST00000045083.6	21677	21720	43612
ENST00000045347.11	7574	7669	52600
ENST00000046087.7	93561	93779	155663
ENST00000046640.9	20029	20159	20159
ENST00000046794.10	25601	25638	48911
ENST00000052569.10	11920	12095	39031
ENST00000052754.10	11014	11127	32491
ENST00000053243.6	0	129	2519
ENST00000053468.4	9510	9557	9557
ENST00000053867.8	3496	3630	3630
ENST00000054650.9	0	73	7855
ENST00000054666.11	2058	2127	8258
ENST00000054668.5	5538	5662	5662
ENST00000054950.4	12084	12283	13272
ENST00000055077.8	0	107	22274
ENST00000055335.11	15964	17217	17217
ENST00000055682.12	6164	6242	6242
ENST00000056217.10	0	3153	17383
ENST00000056233.4	31202	31285	33281
ENST00000057513.8	21917	22045	31491
ENST00000060969.6	5836	5941	6333
ENST00000061240.7	226837	226968	226968
ENST00000064571.3	5321	5611	5611
