transcript_id	cds_start	cds_end	transcript_length	genomic_cds_starts	genomic_cds_ends
"""ENSDART00000000004"""	2685	10152	7467	34114752,34116903,34119914,34120177,34120457,34120722	34114817,34117671,34119981,34120310,34120555,34120905
"""ENSDART00000000005"""	0	26644	26644	34089156,34090900,34098913,34102339,34102672,34107455,34112896	34090811,34091056,34099049,34102490,34102775,34107538,34113206
"""ENSDART00000000042"""	78	28177	28099	50199816,50200877,50210141,50212832,50213067,50213751,50215053,50215338,50216219,50216463,50216985,50217911,50218928,50220366,50222596,50225156,50225372	50199935,50201016,50210341,50212943,50213228,50213879,50215208,50215445,50216360,50216604,50217135,50218056,50219093,50220615,50222706,50225302,50225460
"""ENSDART00000000069"""	138	53071	52933	33484596,33507295,33519001,33528195,33532654,33536231	33485048,33507465,33519154,33528238,33532830,33536383
"""ENSDART00000000070"""	1391	33453	32062	22071681,22077162,22100803,22103378	22071797,22077204,22100902,22103432
"""ENSDART00000000160"""	562	28849	28287	34697840,34701296,34703547,34706673,34710994,34713972,34714208,34714453,34724806	34697884,34701540,34703805,34706816,34711199,34714119,34714329,34714514,34724855
"""ENSDART00000000192"""	3621	58043	54422	11781674,11784328,11787057,11787288,11788100,11790249,11790399,11791848,11792505,11793761,11793917,11795218,11803684,11806493,11812795,11813553,11814342,11814490,11815892,11818662,11822029,11822178,11825047,11825222,11825747,11833180	11781769,11784463,11787205,11787416,11788246,11790310,11790489,11792017,11792661,11793817,11793997,11795383,11803842,11806627,11812863,11813725,11814405,11814578,11815979,11818782,11822081,11822222,11825125,11825264,11825854,11833317
"""ENSDART00000000198"""	56490	152966	96476	30174361,30184542,30186487,30189879,30192111,30199936,30200294,30200492,30202826,30203168,30204721,30205120,30212262,30217731,30238207,30239712,30245693,30266390	30174499,30184656,30186544,30189935,30192212,30200026,30200416,30200580,30203043,30203299,30204876,30205293,30212399,30217808,30238265,30239762,30245830,30267663
"""ENSDART00000000221"""	105	3519	3414	5378668,5378925,5379225,5379461,5379712,5379952,5380203	5378827,5379145,5379350,5379622,5379868,5380034,5380691
"""ENSDART00000000250"""	260	10595	10335	41103387,41103537,41105395,41105747,41106961,41107857,41109274,41111734	41103420,41103604,41105554,41105862,41107087,41108105,41109894,41112044
"""ENSDART00000000280"""	984	29429	28445	41219951,41223691,41223923,41224100,41224283,41224501,41225880,41232651,41232971,41233201,41234046,41234442,41234642,41235554,41235727,41235920,41238453,41240778,41242320,41242560,41244643,41246216	41220078,41223835,41224018,41224189,41224361,41224604,41226031,41232809,41233063,41233260,41234075,41234532,41234677,41235637,41235825,41236055,41238508,41240872,41242459,41242748,41244727,41246243
"""ENSDART00000000382"""	3	184508	184505	8751818,8759936,8762155,8762461,8762630,8765039,8765322,8765437,8768600,8770763,8772420,8772686,8775777,8778465,8779810,8780023,8782709,8782855,8783300,8784864,8785085,8787086,8788383,8810158,8810776,8811124,8813709,8816030,8818814,8819109,8828146,8828834,8831927,8832078,8834196,8834632,8834896,8837770,8842253,8842446,8844439,8845651,8847221,8855975,8862172,8869989,8870847,8873847,8876977,8886001,8888118,8890809,8905320,8905662,8910953,8918565,8927350	8752360,8760074,8762355,8762533,8762751,8765204,8765349,8765575,8768847,8771409,8772600,8772877,8775854,8778515,8779902,8780112,8782778,8782958,8783366,8785012,8785177,8787262,8788666,8810401,8810794,8811252,8813800,8816131,8819004,8819220,8828238,8828923,8831996,8832187,8834262,8834747,8835090,8837892,8842368,8842560,8844588,8845842,8847340,8856141,8862367,8870163,8871016,8874038,8877099,8886231,8888249,8891000,8905442,8906150,8911145,8918679,8927425
"""ENSDART00000000392"""	389	31221	30832	25005792,25008275,25009753,25010207,25013023,25013243,25016595,25016868,25019061,25019749,25023983,25024218,25024518,25026629,25026921,25027192,25028408,25028615,25029113,25029349,25029672,25033596	25005838,25008440,25009836,25010281,25013086,25013350,25016695,25016955,25019170,25019856,25024129,25024283,25024661,25026778,25026968,25027258,25028472,25028689,25029253,25029438,25029824,25034072
"""ENSDART00000000486"""	24427	49124	24697	23957443,23963672,23965767,23966020,23966198,23966494,23966721,23968921,23969745,23970086,23970347,23972225,23973804,23975230,23976096,23976369,23977543,23979499	23957500,23963813,23965942,23966115,23966410,23966596,23966902,23969057,23969874,23970236,23970474,23972400,23973924,23975388,23976245,23976439,23977777,23979614
"""ENSDART00000000488"""	3	6932	6929	5723093,5725781,5727490,5727957,5729443	5723194,5725957,5727579,5728088,5729484
"""ENSDART00000000552"""	183	30172	29989	54716619,54718094,54719033,54719201,54722049,54722468,54723279,54725212,54725585,54728266,54728772,54730517,54734546,54736432,54738981,54739455,54741330,54741807,54742175,54742594,54742807,54743734,54743883	54716714,54718294,54719101,54719228,54722156,54722604,54723452,54725318,54725704,54728339,54728863,54730706,54734676,54736543,54739204,54739644,54741474,54741907,54742240,54742685,54742947,54743798,54743925
"""ENSDART00000000564"""	195	6764	6569	41083304,41086366,41086637	41083547,41086547,41088043
"""ENSDART00000000566"""	4155	30187	26032	27692429,27694066,27694493,27716677	27692883,27694301,27694694,27717124
