transcript_id	cds_start	cds_end	transcript_length	genomic_cds_starts	genomic_cds_ends
ENST00000000233.10	88	3425	3337	127588499,127589083,127589485,127590066,127590963,127591213	127588565,127589163,127589594,127590137,127591088,127591299
ENST00000000412.8	1457	6871	5414	8941818,8942416,8943405,8943801,8945418,8946229	8941940,8942542,8943535,8943910,8945584,8946404
ENST00000000442.11	1656	11708	10052	64307180,64313951,64314239,64314741,64315001,64315707	64307504,64314067,64314367,64314911,64315270,64315966
ENST00000001008.6	170	9658	9488	2795140,2797138,2797729,2798706,2799088,2799850,2800039,2800392,2801117,2803151	2795244,2797282,2797871,2798826,2799244,2799940,2800122,2800577,2801356,2803258
ENST00000001146.7	2989	20129	17140	72132227,72133023,72134761,72135144,72143989,72147631	72132619,72133307,72134916,72135419,72144213,72147834
ENST00000002125.9	48	18008	17960	37231706,37232106,37236096,37237757,37241578,37242635,37243863,37246052,37247456,37248135	37231760,37232266,37236176,37237867,37241791,37242693,37243973,37246195,37247629,37248350
ENST00000002165.11	895	18219	17324	143495707,143497389,143501932,143502355,143503913,143507237,143511411	143495847,143497497,143502122,143502565,143504252,143507424,143511634
ENST00000002501.11	1464	14943	13479	90006335,90008784,90009284,90019311	90006492,90008924,90009430,90019341
ENST00000002596.6	5932	7778	1846	11399082	11400005
ENST00000002829.8	4299	35131	30832	50159623,50173793,50174052,50174231,50175096,50176768,50182284,50182644,50182904,50183186,50183420,50184592,50185443,50185666,50185889,50186281,50186613,50187705	50159734,50173953,50174114,50174350,50175188,50176861,50182403,50182783,50183018,50183255,50183564,50184814,50185531,50185707,50186046,50186348,50186746,50188115
ENST00000003084.11	70	191499	191429	117480095,117504253,117509034,117530899,117534276,117535248,117536548,117540100,117542016,117548641,117559464,117587739,117590353,117591934,117594930,117602826,117603532,117606674,117610519,117611581,117614613,117627522,117642438,117652842,117664688,117665459,117666908	117480147,117504363,117509142,117531114,117534365,117535411,117536673,117540346,117542108,117548823,117559655,117587833,117590439,117592657,117595058,117602863,117603782,117606753,117610669,117611808,117614713,117627770,117642593,117652931,117664860,117665564,117667108
ENST00000003100.13	1512	23731	22219	92113665,92117044,92118520,92123120,92123734,92126253,92127505,92128880,92131774,92134173	92113843,92117212,92118615,92123315,92123853,92126427,92127631,92129056,92131872,92134364
